,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,146,42,14,34,4,206,12,28,224,56,14
ec2-ap-northeast-2,42,402,28,90,22,412,42,48,510,104,40
ec2-ap-south-1,14,28,104,28,2,132,6,18,164,42,14
ec2-ap-southeast-1,34,90,28,232,8,252,16,36,358,80,18
ec2-ap-southeast-2,4,22,2,8,56,76,10,8,102,14,10
ec2-eu-central-1,206,412,132,252,76,2404,90,174,1758,376,96
ec2-eu-west-1,12,42,6,16,10,90,82,18,132,42,18
ec2-sa-east-1,28,48,18,36,8,174,18,170,258,38,8
ec2-us-east-1,224,510,164,358,102,1758,132,258,3544,492,138
ec2-us-west-1,56,104,42,80,14,376,42,38,492,394,30
ec2-us-west-2,14,40,14,18,10,96,18,8,138,30,82